#   Step          Temp          Press            Lx             Ly             Lz             Xy             Xz             Yz      
         0   300            3616.4799      93.1489        37.9577        41.4514        0              0              0            
      1000   298.0781       669.09885      93.465111      38.086554      41.592114      0              0              0            
      2000   303.10022     -399.24482      93.456567      38.083073      41.588312      0              0              0            
      3000   298.28707      3.2102024      93.380487      38.05207       41.554457      0              0              0            
      4000   302.07148      899.21231      93.414661      38.065996      41.569664      0              0              0            
      5000   299.93393      557.34354      93.245304      37.996984      41.4943        0              0              0            
      6000   302.50671     -19.461238      93.429793      38.072162      41.576398      0              0              0            
      7000   299.57828      654.57872      93.354056      38.0413        41.542695      0              0              0            
      8000   302.26606     -152.30172      93.37343       38.049195      41.551316      0              0              0            
      9000   299.50735     -23.407412      93.301938      38.020062      41.519502      0              0              0            
     10000   300.97952      688.76413      93.324765      38.029364      41.52966       0              0              0            
     11000   299.24634      18.975523      93.363977      38.045343      41.547109      0              0              0            
     12000   302.81511      1009.322       93.262059      38.003812      41.501756      0              0              0            
     13000   297.47763      260.77468      93.326125      38.029918      41.530265      0              0              0            
     14000   304.40385      1290.9518      93.365923      38.046136      41.547976      0              0              0            
     15000   301.88634      272.85155      93.277537      38.010119      41.508644      0              0              0            
     16000   298.62074      132.94726      93.298854      38.018805      41.51813       0              0              0            
     17000   300.1377      -472.95194      93.337743      38.034652      41.535435      0              0              0            
     18000   297.7442       131.87143      93.347218      38.038514      41.539652      0              0              0            
     19000   299.92096     -266.18636      93.290582      38.015435      41.514449      0              0              0            
     20000   300.84183     -486.09223      93.384186      38.053578      41.556103      0              0              0            
     21000   302.63752      812.69149      93.285504      38.013365      41.512189      0              0              0            
     22000   302.31357      689.11898      93.281992      38.011934      41.510626      0              0              0            
     23000   298.84914     -414.72473      93.312701      38.024448      41.524292      0              0              0            
     24000   300.56417     -798.24892      93.285383      38.013316      41.512135      0              0              0            
     25000   299.9449      -1055.1171      93.360293      38.043841      41.54547       0              0              0            
     26000   299.31781      469.96776      93.29809       38.018494      41.51779       0              0              0            
     27000   299.30129      334.02952      93.288039      38.014398      41.513317      0              0              0            
     28000   301.37191     -370.86224      93.276641      38.009754      41.508245      0              0              0            
     29000   299.20082     -352.41516      93.338925      38.035134      41.535961      0              0              0            
     30000   298.5159       335.05547      93.300999      38.019679      41.519084      0              0              0            
     31000   302.7583       616.26382      93.348545      38.039054      41.540242      0              0              0            
     32000   294.50169      329.06679      93.324049      38.029072      41.529341      0              0              0            
     33000   303.73786      428.23244      93.310495      38.023549      41.52331       0              0              0            
     34000   300.57179      1048.6335      93.267721      38.006119      41.504276      0              0              0            
     35000   296.67484      376.69122      93.321429      38.028005      41.528175      0              0              0            
     36000   301.93512      997.08196      93.214242      37.984327      41.480477      0              0              0            
     37000   300.08855     -607.65465      93.350379      38.039802      41.541058      0              0              0            
     38000   303.63495      190.35389      93.328213      38.030769      41.531194      0              0              0            
     39000   302.02104     -370.45834      93.275913      38.009457      41.507921      0              0              0            
     40000   297.92597      1388.7635      93.289533      38.015007      41.513982      0              0              0            
     41000   297.91067      100.85814      93.198299      37.97783       41.473383      0              0              0            
     42000   299.60562     -653.38295      93.291446      38.015787      41.514833      0              0              0            
     43000   301.32934      748.01805      93.264728      38.004899      41.502944      0              0              0            
     44000   303.59479      1176.558       93.302056      38.02011       41.519554      0              0              0            
     45000   300.62971     -2.3715496      93.31404       38.024994      41.524888      0              0              0            
     46000   298.25173     -402.5273       93.316971      38.026188      41.526192      0              0              0            
     47000   301.04411     -63.713429      93.33504       38.033551      41.534233      0              0              0            
     48000   296.18661     -660.09209      93.366235      38.046263      41.548114      0              0              0            
     49000   299.28456      393.03924      93.210457      37.982784      41.478793      0              0              0            
     50000   301.41848     -72.927519      93.273197      38.00835       41.506712      0              0              0            
     51000   297.83091     -557.93575      93.360395      38.043883      41.545516      0              0              0            
     52000   297.1693       1570.8138      93.236823      37.993528      41.490526      0              0              0            
     53000   302.03543     -308.4268       93.31809       38.026644      41.52669       0              0              0            
     54000   295.30818     -837.92869      93.331201      38.031987      41.532524      0              0              0            
     55000   300.14874     -382.89938      93.301667      38.019952      41.519381      0              0              0            
     56000   300.9536       602.93194      93.320118      38.02747       41.527592      0              0              0            
     57000   299.51552     -961.99609      93.451142      38.080862      41.585898      0              0              0            
     58000   301.18749     -252.6788       93.313864      38.024922      41.524809      0              0              0            
